link,title,author,journal,journal_issue,year,citation
https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CHvd3SUAAAAJ&cstart=20&pagesize=80&citation_for_view=CHvd3SUAAAAJ:5awf1xo2G04C,Advancing sustainable agriculture: a critical review of smart and eco-friendly nanomaterial applications,"SR Balusamy, AS Joshi, H Perumalsamy, I Mijakovic, P Singh",Journal of Nanobiotechnology,21 (1),2023,137
https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CHvd3SUAAAAJ&cstart=20&pagesize=80&citation_for_view=CHvd3SUAAAAJ:qjMakFHDy7sC,Weissella oryzae DC6-facilitated green synthesis of silver nanoparticles and their antimicrobial potential,"P Singh, YJ Kim, C Wang, R Mathiyalagan, DC Yang","Artificial cells, nanomedicine, and biotechnology",44 (6),2016,137
https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CHvd3SUAAAAJ&cstart=20&pagesize=80&citation_for_view=CHvd3SUAAAAJ:b0M2c_1WBrUC,Silver nanoparticles produced from Cedecea sp. exhibit antibiofilm activity and remarkable stability,"P Singh, S Pandit, C Jers, AS Joshi, J Garnæs, I Mijakovic",Scientific reports,11 (1),2021,135
https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CHvd3SUAAAAJ&cstart=20&pagesize=80&citation_for_view=CHvd3SUAAAAJ:5nxA0vEk-isC,Green synthesis of multifunctional silver and gold nanoparticles from the oriental herbal adaptogen: Siberian ginseng,"R Abbai, R Mathiyalagan, J Markus, YJ Kim, C Wang, P Singh, S Ahn, ...",International journal of nanomedicine,,2016,130
https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CHvd3SUAAAAJ&cstart=20&pagesize=80&citation_for_view=CHvd3SUAAAAJ:4DMP91E08xMC,Biological synthesis of gold and silver chloride nanoparticles by Glycyrrhiza uralensis and in vitro applications,"Y Huo, P Singh, YJ Kim, V Soshnikova, J Kang, J Markus, S Ahn, ...","Artificial cells, nanomedicine, and biotechnology",46 (2),2018,125
https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CHvd3SUAAAAJ&cstart=20&pagesize=80&citation_for_view=CHvd3SUAAAAJ:D03iK_w7-QYC,"Applications of Panax ginseng leaves-mediated gold nanoparticles in cosmetics relation to antioxidant, moisture retention, and whitening effect on B16BL6 cells","ZE Jiménez-Pérez, P Singh, YJ Kim, R Mathiyalagan, DH Kim, MH Lee, ...",Journal of ginseng research,42 (3),2018,123
https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CHvd3SUAAAAJ&cstart=20&pagesize=80&citation_for_view=CHvd3SUAAAAJ:u_35RYKgDlwC,Biosynthesis of Anisotropic Silver Nanoparticles by Bhargavaea indica and Their Synergistic Effect with Antibiotics against Pathogenic Microorganisms,"P Singh, YJ Kim, H Singh, R Mathiyalagan, C Wang, DC Yang",Journal of Nanomaterials,2015 (1),2015,123
https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CHvd3SUAAAAJ&cstart=20&pagesize=80&citation_for_view=CHvd3SUAAAAJ:OU6Ihb5iCvQC,Strong Antimicrobial Activity of Silver Nanoparticles Obtained by the Green Synthesis in Viridibacillus sp. Extracts,"P Singh, I Mijakovic",Frontiers in Microbiology,,2022,117
https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CHvd3SUAAAAJ&cstart=20&pagesize=80&citation_for_view=CHvd3SUAAAAJ:7T2F9Uy0os0C,"Advanced nanomaterials for cancer therapy: gold, silver, and iron oxide nanoparticles in oncological applications","P Singh, S Pandit, SR Balusamy, M Madhusudanan, H Singh, ...",Advanced Healthcare Materials,14 (4),2025,99
https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CHvd3SUAAAAJ&cstart=20&pagesize=80&citation_for_view=CHvd3SUAAAAJ:qxL8FJ1GzNcC,"Aluminium resistant, plant growth promoting bacteria induce overexpression of Aluminium stress related genes in Arabidopsis thaliana and increase the ginseng tolerance against …","MEA Farh, YJ Kim, J Sukweenadhi, P Singh, DC Yang",Microbiological Research,,2017,89
https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CHvd3SUAAAAJ&cstart=20&pagesize=80&citation_for_view=CHvd3SUAAAAJ:HoB7MX3m0LUC,Biosynthesized gold and silver nanoparticles by aqueous fruit extract of Chaenomeles sinensis and screening of their biomedical activities,"KH Oh, V Soshnikova, J Markus, YJ Kim, SC Lee, P Singh, ...","Artificial cells, nanomedicine, and biotechnology",46 (3),2018,82
https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CHvd3SUAAAAJ&cstart=20&pagesize=80&citation_for_view=CHvd3SUAAAAJ:M05iB0D1s5AC,Facile synthesis of Au and Ag nanoparticles using fruit extract of Lycium chinense and their anticancer activity,"M Chokkalingam, P Singh, Y Huo, V Soshnikova, S Ahn, J Kang, ...",Journal of Drug Delivery Science and Technology,,2019,75
https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CHvd3SUAAAAJ&cstart=20&pagesize=80&citation_for_view=CHvd3SUAAAAJ:hFOr9nPyWt4C,"Bovine serum albumin as a nanocarrier for the efficient delivery of ginsenoside compound K: Preparation, physicochemical characterizations and in vitro biological studies","P Singh, H Singh, V Castro-Aceituno, S Ahn, YJ Kim, DC Yang",RSC Advances,7 (25),2017,74
https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CHvd3SUAAAAJ&cstart=20&pagesize=80&citation_for_view=CHvd3SUAAAAJ:UeHWp8X0CEIC,Microbial synthesis of flower-shaped gold nanoparticles,"P Singh, YJ Kim, C Wang, R Mathiyalagan, DC Yang","Artificial cells, nanomedicine, and biotechnology",44 (6),2016,71
https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CHvd3SUAAAAJ&cstart=20&pagesize=80&citation_for_view=CHvd3SUAAAAJ:p2g8aNsByqUC,Green synthesis and antibacterial applications of gold and silver nanoparticles from Ligustrum vulgare berries,"P Singh, I Mijakovic",Scientific Reports,12 (1),2022,70
https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CHvd3SUAAAAJ&cstart=20&pagesize=80&citation_for_view=CHvd3SUAAAAJ:uWQEDVKXjbEC,Antibacterial effect of silver nanoparticles is stronger if the production host and the targeted pathogen are closely related,"P Singh, I Mijakovic",Biomedicines,10 (3),2022,70
https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CHvd3SUAAAAJ&cstart=20&pagesize=80&citation_for_view=CHvd3SUAAAAJ:xtRiw3GOFMkC,A Sustainable Approach for the Green Synthesis of Silver Nanoparticles from Solibacillus isronensis sp. and Their Application in Biofilm Inhibition,"P Singh, S Pandit, V Mokkapati, J Garnæs, I Mijakovic",Molecules,25 (12),2020,68
https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CHvd3SUAAAAJ&cstart=20&pagesize=80&citation_for_view=CHvd3SUAAAAJ:RHpTSmoSYBkC,Development of superparamagnetic iron oxide nanoparticles via direct conjugation with ginsenosides and its in-vitro study,"H Singh, J Du, P Singh, GT Mavlonov, TH Yi",Journal of Photochemistry and Photobiology B: Biology,,2018,68
https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CHvd3SUAAAAJ&cstart=20&pagesize=80&citation_for_view=CHvd3SUAAAAJ:3s1wT3WcHBgC,Role of green silver nanoparticles synthesized from Symphytum officinale leaf extract in protection against UVB-induced photoaging,"H Singh, J Du, P Singh, TH Yi",Journal of Nanostructure in Chemistry,8 (3),2018,67
https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CHvd3SUAAAAJ&cstart=20&pagesize=80&citation_for_view=CHvd3SUAAAAJ:ULOm3_A8WrAC,"Pharmacological importance, characterization and applications of gold and silver nanoparticles synthesized by Panax ginseng fresh leaves","P Singh, H Singh, S Ahn, V Castro-Aceituno, Z Jiménez, SY Simu, YJ Kim, ...","Artificial cells, nanomedicine, and biotechnology",45 (7),2017,65
https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CHvd3SUAAAAJ&cstart=20&pagesize=80&citation_for_view=CHvd3SUAAAAJ:cFHS6HbyZ2cC,Characterization and antimicrobial application of biosynthesized gold and silver nanoparticles by using Microbacterium resistens,"C Wang, P Singh, YJ Kim, R Mathiyalagan, D Myagmarjav, D Wang, ...","Artificial Cells, Nanomedicine, and Biotechnology",44 (7),2016,60
https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CHvd3SUAAAAJ&cstart=20&pagesize=80&citation_for_view=CHvd3SUAAAAJ:u5HHmVD_uO8C,Anti-biofouling organic-inorganic hybrid membrane for water treatment,"AK Singh, P Singh, S Mishra, VK Shahi",Journal of Materials Chemistry,22 (5),2012,59
